sku,name,description,price
SKU01518,"Product 1518","Description for product 1518",87.51
SKU01519,"Product 1519","Description for product 1519",68.62
SKU01520,"Product 1520","Description for product 1520",65.73
SKU01521,"Product 1521","Description for product 1521",88.56
SKU01522,"Product 1522","Description for product 1522",92.69
SKU01523,"Product 1523","Description for product 1523",77.13
SKU01524,"Product 1524","Description for product 1524",73.16
SKU01525,"Product 1525","Description for product 1525",70.85
SKU01526,"Product 1526","Description for product 1526",90.22
SKU01527,"Product 1527","Description for product 1527",62.32
SKU01528,"Product 1528","Description for product 1528",69.89
SKU01529,"Product 1529","Description for product 1529",82.77
SKU01530,"Product 1530","Description for product 1530",80.97
SKU01531,"Product 1531","Description for product 1531",11.91
SKU01532,"Product 1532","Description for product 1532",32.9
SKU01533,"Product 1533","Description for product 1533",86.45
SKU01534,"Product 1534","Description for product 1534",12.42
SKU01535,"Product 1535","Description for product 1535",22.42
SKU01536,"Product 1536","Description for product 1536",14.01
SKU01537,"Product 1537","Description for product 1537",60.7
SKU01538,"Product 1538","Description for product 1538",21.78
SKU01539,"Product 1539","Description for product 1539",17.59
SKU01540,"Product 1540","Description for product 1540",81.48
SKU01541,"Product 1541","Description for product 1541",98.28
SKU01542,"Product 1542","Description for product 1542",12.89
SKU01543,"Product 1543","Description for product 1543",97.1
SKU01544,"Product 1544","Description for product 1544",63.33
SKU01545,"Product 1545","Description for product 1545",23.71
SKU01546,"Product 1546","Description for product 1546",2.09
SKU01547,"Product 1547","Description for product 1547",19.7
SKU01548,"Product 1548","Description for product 1548",70.92
SKU01549,"Product 1549","Description for product 1549",54.79
SKU01550,"Product 1550","Description for product 1550",39.67
SKU01551,"Product 1551","Description for product 1551",45.05
SKU01552,"Product 1552","Description for product 1552",19.4
SKU01553,"Product 1553","Description for product 1553",39.31
SKU01554,"Product 1554","Description for product 1554",99.87
SKU01555,"Product 1555","Description for product 1555",4.84
SKU01556,"Product 1556","Description for product 1556",16.88
SKU01557,"Product 1557","Description for product 1557",29.76
SKU01558,"Product 1558","Description for product 1558",47.44
SKU01559,"Product 1559","Description for product 1559",29.57
SKU01560,"Product 1560","Description for product 1560",33.23
SKU01561,"Product 1561","Description for product 1561",90.37
SKU01562,"Product 1562","Description for product 1562",40.18
SKU01563,"Product 1563","Description for product 1563",85.15
SKU01564,"Product 1564","Description for product 1564",9.51
SKU01565,"Product 1565","Description for product 1565",42.07
SKU01566,"Product 1566","Description for product 1566",68.26
SKU01567,"Product 1567","Description for product 1567",85.22
SKU01568,"Product 1568","Description for product 1568",74.65
SKU01569,"Product 1569","Description for product 1569",26.1
SKU01570,"Product 1570","Description for product 1570",61.76
SKU01571,"Product 1571","Description for product 1571",55.91
SKU01572,"Product 1572","Description for product 1572",55.13
SKU01573,"Product 1573","Description for product 1573",33.9
SKU01574,"Product 1574","Description for product 1574",33.71
SKU01575,"Product 1575","Description for product 1575",3.77
SKU01576,"Product 1576","Description for product 1576",90.35
SKU01577,"Product 1577","Description for product 1577",17.16
SKU01578,"Product 1578","Description for product 1578",87.67
SKU01579,"Product 1579","Description for product 1579",38.64
SKU01580,"Product 1580","Description for product 1580",85.23
SKU01581,"Product 1581","Description for product 1581",36.35
SKU01582,"Product 1582","Description for product 1582",67.18
SKU01583,"Product 1583","Description for product 1583",35.1
SKU01584,"Product 1584","Description for product 1584",64.1
SKU01585,"Product 1585","Description for product 1585",61.72
SKU01586,"Product 1586","Description for product 1586",13.46
SKU01587,"Product 1587","Description for product 1587",67.24
SKU01588,"Product 1588","Description for product 1588",47.16
SKU01589,"Product 1589","Description for product 1589",31.81
SKU01590,"Product 1590","Description for product 1590",76.42
SKU01591,"Product 1591","Description for product 1591",89.11
SKU01592,"Product 1592","Description for product 1592",65.87
SKU01593,"Product 1593","Description for product 1593",89.64
SKU01594,"Product 1594","Description for product 1594",16.39
SKU01595,"Product 1595","Description for product 1595",68.74
SKU01596,"Product 1596","Description for product 1596",62.49
SKU01597,"Product 1597","Description for product 1597",95.52
SKU01598,"Product 1598","Description for product 1598",63.84
SKU01599,"Product 1599","Description for product 1599",81.54
SKU01600,"Product 1600","Description for product 1600",26.01
SKU01601,"Product 1601","Description for product 1601",28.56
SKU01602,"Product 1602","Description for product 1602",17.29
SKU01603,"Product 1603","Description for product 1603",21.92
SKU01604,"Product 1604","Description for product 1604",92.93
SKU01605,"Product 1605","Description for product 1605",79.77
SKU01606,"Product 1606","Description for product 1606",18.38
SKU01607,"Product 1607","Description for product 1607",81.2
SKU01608,"Product 1608","Description for product 1608",66.48
SKU01609,"Product 1609","Description for product 1609",95.05
SKU01610,"Product 1610","Description for product 1610",43.81
SKU01611,"Product 1611","Description for product 1611",20.61
SKU01612,"Product 1612","Description for product 1612",20.68
SKU01613,"Product 1613","Description for product 1613",4.07
SKU01614,"Product 1614","Description for product 1614",55.41
SKU01615,"Product 1615","Description for product 1615",93.39
SKU01616,"Product 1616","Description for product 1616",79.67
SKU01617,"Product 1617","Description for product 1617",58.68
SKU01618,"Product 1618","Description for product 1618",68.07
SKU01619,"Product 1619","Description for product 1619",38.65
SKU01620,"Product 1620","Description for product 1620",76.91
SKU01621,"Product 1621","Description for product 1621",15.77
SKU01622,"Product 1622","Description for product 1622",70.63
SKU01623,"Product 1623","Description for product 1623",22.5
SKU01624,"Product 1624","Description for product 1624",30.91
SKU01625,"Product 1625","Description for product 1625",67.38
SKU01626,"Product 1626","Description for product 1626",26.35
SKU01627,"Product 1627","Description for product 1627",63.68
SKU01628,"Product 1628","Description for product 1628",43.66
SKU01629,"Product 1629","Description for product 1629",10.59
SKU01630,"Product 1630","Description for product 1630",39.56
SKU01631,"Product 1631","Description for product 1631",93.92
SKU01632,"Product 1632","Description for product 1632",42.41
SKU01633,"Product 1633","Description for product 1633",93.39
SKU01634,"Product 1634","Description for product 1634",28.61
SKU01635,"Product 1635","Description for product 1635",89.49
SKU01636,"Product 1636","Description for product 1636",42.83
SKU01637,"Product 1637","Description for product 1637",17.94
SKU01638,"Product 1638","Description for product 1638",2.56
SKU01639,"Product 1639","Description for product 1639",84.48
SKU01640,"Product 1640","Description for product 1640",86.9
SKU01641,"Product 1641","Description for product 1641",74.5
SKU01642,"Product 1642","Description for product 1642",7.6
SKU01643,"Product 1643","Description for product 1643",54.67
SKU01644,"Product 1644","Description for product 1644",95.81
SKU01645,"Product 1645","Description for product 1645",51.22
SKU01646,"Product 1646","Description for product 1646",59.53
SKU01647,"Product 1647","Description for product 1647",14.7
SKU01648,"Product 1648","Description for product 1648",9.81
SKU01649,"Product 1649","Description for product 1649",84.74
SKU01650,"Product 1650","Description for product 1650",67.54
SKU01651,"Product 1651","Description for product 1651",27.6
SKU01652,"Product 1652","Description for product 1652",4.21
SKU01653,"Product 1653","Description for product 1653",78.13
SKU01654,"Product 1654","Description for product 1654",90.14
SKU01655,"Product 1655","Description for product 1655",18.49
SKU01656,"Product 1656","Description for product 1656",70.54
SKU01657,"Product 1657","Description for product 1657",18.22
SKU01658,"Product 1658","Description for product 1658",19.97
SKU01659,"Product 1659","Description for product 1659",58.07
SKU01660,"Product 1660","Description for product 1660",27.38
SKU01661,"Product 1661","Description for product 1661",41.44
SKU01662,"Product 1662","Description for product 1662",76.75
SKU01663,"Product 1663","Description for product 1663",27.9
SKU01664,"Product 1664","Description for product 1664",87.95
SKU01665,"Product 1665","Description for product 1665",39.28
SKU01666,"Product 1666","Description for product 1666",31.66
SKU01667,"Product 1667","Description for product 1667",37.15
SKU01668,"Product 1668","Description for product 1668",81.22
SKU01669,"Product 1669","Description for product 1669",52.79
SKU01670,"Product 1670","Description for product 1670",84.47
SKU01671,"Product 1671","Description for product 1671",36.52
SKU01672,"Product 1672","Description for product 1672",31.72
SKU01673,"Product 1673","Description for product 1673",37.05
SKU01674,"Product 1674","Description for product 1674",41.1
SKU01675,"Product 1675","Description for product 1675",70.35
SKU01676,"Product 1676","Description for product 1676",15.83
SKU01677,"Product 1677","Description for product 1677",87.43
SKU01678,"Product 1678","Description for product 1678",49.49
SKU01679,"Product 1679","Description for product 1679",91.13
SKU01680,"Product 1680","Description for product 1680",74.47
SKU01681,"Product 1681","Description for product 1681",58.3
SKU01682,"Product 1682","Description for product 1682",5.7
SKU01683,"Product 1683","Description for product 1683",36.88
SKU01684,"Product 1684","Description for product 1684",20.03
SKU01685,"Product 1685","Description for product 1685",19.28
SKU01686,"Product 1686","Description for product 1686",75.39
SKU01687,"Product 1687","Description for product 1687",90.74
SKU01688,"Product 1688","Description for product 1688",14.97
SKU01689,"Product 1689","Description for product 1689",66.44
SKU01690,"Product 1690","Description for product 1690",6.89
SKU01691,"Product 1691","Description for product 1691",8.44
SKU01692,"Product 1692","Description for product 1692",72.23
SKU01693,"Product 1693","Description for product 1693",39.21
SKU01694,"Product 1694","Description for product 1694",18.53
SKU01695,"Product 1695","Description for product 1695",39.48
SKU01696,"Product 1696","Description for product 1696",40.2
SKU01697,"Product 1697","Description for product 1697",2.07
SKU01698,"Product 1698","Description for product 1698",82.77
SKU01699,"Product 1699","Description for product 1699",68.42
SKU01700,"Product 1700","Description for product 1700",19.11
SKU01701,"Product 1701","Description for product 1701",26.55
SKU01702,"Product 1702","Description for product 1702",84.17
SKU01703,"Product 1703","Description for product 1703",90.51
SKU01704,"Product 1704","Description for product 1704",64.28
SKU01705,"Product 1705","Description for product 1705",65.61
SKU01706,"Product 1706","Description for product 1706",43.89
SKU01707,"Product 1707","Description for product 1707",32.59
SKU01708,"Product 1708","Description for product 1708",67.64
SKU01709,"Product 1709","Description for product 1709",41.79
SKU01710,"Product 1710","Description for product 1710",96.48
SKU01711,"Product 1711","Description for product 1711",48.32
SKU01712,"Product 1712","Description for product 1712",58.33
SKU01713,"Product 1713","Description for product 1713",5.78
SKU01714,"Product 1714","Description for product 1714",23.05
SKU01715,"Product 1715","Description for product 1715",70.92
SKU01716,"Product 1716","Description for product 1716",49.82
SKU01717,"Product 1717","Description for product 1717",96.14
SKU01718,"Product 1718","Description for product 1718",78.11
SKU01719,"Product 1719","Description for product 1719",45.15
SKU01720,"Product 1720","Description for product 1720",70.28
SKU01721,"Product 1721","Description for product 1721",19.15
SKU01722,"Product 1722","Description for product 1722",27.05
SKU01723,"Product 1723","Description for product 1723",54.27
SKU01724,"Product 1724","Description for product 1724",42.86
SKU01725,"Product 1725","Description for product 1725",81.26
SKU01726,"Product 1726","Description for product 1726",4.76
SKU01727,"Product 1727","Description for product 1727",7.46
SKU01728,"Product 1728","Description for product 1728",94.32
SKU01729,"Product 1729","Description for product 1729",45.03
SKU01730,"Product 1730","Description for product 1730",73.13
SKU01731,"Product 1731","Description for product 1731",68.69
SKU01732,"Product 1732","Description for product 1732",22
SKU01733,"Product 1733","Description for product 1733",58.66
SKU01734,"Product 1734","Description for product 1734",42.05
SKU01735,"Product 1735","Description for product 1735",72.44
SKU01736,"Product 1736","Description for product 1736",98.26
SKU01737,"Product 1737","Description for product 1737",52.35
SKU01738,"Product 1738","Description for product 1738",80.28
SKU01739,"Product 1739","Description for product 1739",30.29
SKU01740,"Product 1740","Description for product 1740",67.08
SKU01741,"Product 1741","Description for product 1741",37.36
SKU01742,"Product 1742","Description for product 1742",49.66
SKU01743,"Product 1743","Description for product 1743",45.82
SKU01744,"Product 1744","Description for product 1744",45.58
SKU01745,"Product 1745","Description for product 1745",72.93
SKU01746,"Product 1746","Description for product 1746",52.98
SKU01747,"Product 1747","Description for product 1747",85.59
SKU01748,"Product 1748","Description for product 1748",37.98
SKU01749,"Product 1749","Description for product 1749",49.96
SKU01750,"Product 1750","Description for product 1750",67.79
SKU01751,"Product 1751","Description for product 1751",78.85
SKU01752,"Product 1752","Description for product 1752",64.89
SKU01753,"Product 1753","Description for product 1753",78.08
SKU01754,"Product 1754","Description for product 1754",6.78
SKU01755,"Product 1755","Description for product 1755",99.48
SKU01756,"Product 1756","Description for product 1756",5.35
SKU01757,"Product 1757","Description for product 1757",50.38
SKU01758,"Product 1758","Description for product 1758",55.5
SKU01759,"Product 1759","Description for product 1759",46.4
SKU01760,"Product 1760","Description for product 1760",47.99
SKU01761,"Product 1761","Description for product 1761",3.52
SKU01762,"Product 1762","Description for product 1762",59.29
SKU01763,"Product 1763","Description for product 1763",73.77
SKU01764,"Product 1764","Description for product 1764",94.57
SKU01765,"Product 1765","Description for product 1765",84.92
SKU01766,"Product 1766","Description for product 1766",54.59
SKU01767,"Product 1767","Description for product 1767",9.7
SKU01768,"Product 1768","Description for product 1768",38.55
SKU01769,"Product 1769","Description for product 1769",88.56
SKU01770,"Product 1770","Description for product 1770",5.95
SKU01771,"Product 1771","Description for product 1771",26.22
SKU01772,"Product 1772","Description for product 1772",31.79
SKU01773,"Product 1773","Description for product 1773",20.5
SKU01774,"Product 1774","Description for product 1774",24.62
SKU01775,"Product 1775","Description for product 1775",95.16
SKU01776,"Product 1776","Description for product 1776",43.69
SKU01777,"Product 1777","Description for product 1777",86.46
SKU01778,"Product 1778","Description for product 1778",85.43
SKU01779,"Product 1779","Description for product 1779",5.55
SKU01780,"Product 1780","Description for product 1780",24.02
SKU01781,"Product 1781","Description for product 1781",57.99
SKU01782,"Product 1782","Description for product 1782",8.4
SKU01783,"Product 1783","Description for product 1783",77.39
SKU01784,"Product 1784","Description for product 1784",11.2
SKU01785,"Product 1785","Description for product 1785",68.75
SKU01786,"Product 1786","Description for product 1786",20.35
SKU01787,"Product 1787","Description for product 1787",22
SKU01788,"Product 1788","Description for product 1788",82.9
SKU01789,"Product 1789","Description for product 1789",74.02
SKU01790,"Product 1790","Description for product 1790",86.45
SKU01791,"Product 1791","Description for product 1791",64.65
SKU01792,"Product 1792","Description for product 1792",37.46
SKU01793,"Product 1793","Description for product 1793",99.47
SKU01794,"Product 1794","Description for product 1794",60.16
SKU01795,"Product 1795","Description for product 1795",32.41
SKU01796,"Product 1796","Description for product 1796",26.25
SKU01797,"Product 1797","Description for product 1797",58.93
SKU01798,"Product 1798","Description for product 1798",85.47
SKU01799,"Product 1799","Description for product 1799",68.31
SKU01800,"Product 1800","Description for product 1800",7.32
SKU01801,"Product 1801","Description for product 1801",36.22
SKU01802,"Product 1802","Description for product 1802",7.44
SKU01803,"Product 1803","Description for product 1803",42.01
SKU01804,"Product 1804","Description for product 1804",20.11
SKU01805,"Product 1805","Description for product 1805",23.37
SKU01806,"Product 1806","Description for product 1806",43.93
SKU01807,"Product 1807","Description for product 1807",42.26
SKU01808,"Product 1808","Description for product 1808",89.12
SKU01809,"Product 1809","Description for product 1809",89.27
SKU01810,"Product 1810","Description for product 1810",67.92
SKU01811,"Product 1811","Description for product 1811",79.3
SKU01812,"Product 1812","Description for product 1812",98.37
SKU01813,"Product 1813","Description for product 1813",51.83
SKU01814,"Product 1814","Description for product 1814",34.03
SKU01815,"Product 1815","Description for product 1815",13.11
SKU01816,"Product 1816","Description for product 1816",41.33
SKU01817,"Product 1817","Description for product 1817",12.06
SKU01818,"Product 1818","Description for product 1818",47.92
SKU01819,"Product 1819","Description for product 1819",39.97
SKU01820,"Product 1820","Description for product 1820",95.29
SKU01821,"Product 1821","Description for product 1821",95.39
SKU01822,"Product 1822","Description for product 1822",63.29
SKU01823,"Product 1823","Description for product 1823",66.89
SKU01824,"Product 1824","Description for product 1824",79.25
SKU01825,"Product 1825","Description for product 1825",40.17
SKU01826,"Product 1826","Description for product 1826",88.96
SKU01827,"Product 1827","Description for product 1827",36.8
SKU01828,"Product 1828","Description for product 1828",11.94
SKU01829,"Product 1829","Description for product 1829",25.7
SKU01830,"Product 1830","Description for product 1830",62.04
SKU01831,"Product 1831","Description for product 1831",77.49
SKU01832,"Product 1832","Description for product 1832",3.62
SKU01833,"Product 1833","Description for product 1833",19.44
SKU01834,"Product 1834","Description for product 1834",21.59
SKU01835,"Product 1835","Description for product 1835",80.82
SKU01836,"Product 1836","Description for product 1836",75.64
SKU01837,"Product 1837","Description for product 1837",70.01
SKU01838,"Product 1838","Description for product 1838",43.48
SKU01839,"Product 1839","Description for product 1839",87.34
SKU01840,"Product 1840","Description for product 1840",12.21
SKU01841,"Product 1841","Description for product 1841",53.21
SKU01842,"Product 1842","Description for product 1842",98.28
SKU01843,"Product 1843","Description for product 1843",78.26
SKU01844,"Product 1844","Description for product 1844",42.93
SKU01845,"Product 1845","Description for product 1845",97.34
SKU01846,"Product 1846","Description for product 1846",69.44
SKU01847,"Product 1847","Description for product 1847",18.03
SKU01848,"Product 1848","Description for product 1848",67.53
SKU01849,"Product 1849","Description for product 1849",28.98
SKU01850,"Product 1850","Description for product 1850",73.02
SKU01851,"Product 1851","Description for product 1851",75.6
SKU01852,"Product 1852","Description for product 1852",99.45
SKU01853,"Product 1853","Description for product 1853",5.98
SKU01854,"Product 1854","Description for product 1854",81.18
SKU01855,"Product 1855","Description for product 1855",31.43
SKU01856,"Product 1856","Description for product 1856",16.35
SKU01857,"Product 1857","Description for product 1857",71.74
SKU01858,"Product 1858","Description for product 1858",41.05
SKU01859,"Product 1859","Description for product 1859",30.06
SKU01860,"Product 1860","Description for product 1860",77.87
SKU01861,"Product 1861","Description for product 1861",89.43
SKU01862,"Product 1862","Description for product 1862",2.75
SKU01863,"Product 1863","Description for product 1863",52.51
SKU01864,"Product 1864","Description for product 1864",74.5
SKU01865,"Product 1865","Description for product 1865",27.95
SKU01866,"Product 1866","Description for product 1866",52.4
SKU01867,"Product 1867","Description for product 1867",8.72
SKU01868,"Product 1868","Description for product 1868",98.42
SKU01869,"Product 1869","Description for product 1869",79.56
SKU01870,"Product 1870","Description for product 1870",69.01
SKU01871,"Product 1871","Description for product 1871",82.15
SKU01872,"Product 1872","Description for product 1872",42.47
SKU01873,"Product 1873","Description for product 1873",78.93
SKU01874,"Product 1874","Description for product 1874",74.15
SKU01875,"Product 1875","Description for product 1875",74.78
SKU01876,"Product 1876","Description for product 1876",81.32
SKU01877,"Product 1877","Description for product 1877",85.67
SKU01878,"Product 1878","Description for product 1878",8.99
SKU01879,"Product 1879","Description for product 1879",35.82
SKU01880,"Product 1880","Description for product 1880",31.73
SKU01881,"Product 1881","Description for product 1881",43.85
SKU01882,"Product 1882","Description for product 1882",16.46
SKU01883,"Product 1883","Description for product 1883",26.9
SKU01884,"Product 1884","Description for product 1884",82.59
SKU01885,"Product 1885","Description for product 1885",74.8
SKU01886,"Product 1886","Description for product 1886",46.78
SKU01887,"Product 1887","Description for product 1887",50.85
SKU01888,"Product 1888","Description for product 1888",61.54
SKU01889,"Product 1889","Description for product 1889",56.96
SKU01890,"Product 1890","Description for product 1890",13.66
SKU01891,"Product 1891","Description for product 1891",61.95
SKU01892,"Product 1892","Description for product 1892",73.27
SKU01893,"Product 1893","Description for product 1893",46.32
SKU01894,"Product 1894","Description for product 1894",88.33
SKU01895,"Product 1895","Description for product 1895",61.84
SKU01896,"Product 1896","Description for product 1896",56.74
SKU01897,"Product 1897","Description for product 1897",25.12
SKU01898,"Product 1898","Description for product 1898",46.8
SKU01899,"Product 1899","Description for product 1899",73.55
SKU01900,"Product 1900","Description for product 1900",62.52
SKU01901,"Product 1901","Description for product 1901",51.06
SKU01902,"Product 1902","Description for product 1902",5.5
SKU01903,"Product 1903","Description for product 1903",46.34
SKU01904,"Product 1904","Description for product 1904",61.48
SKU01905,"Product 1905","Description for product 1905",58.85
SKU01906,"Product 1906","Description for product 1906",23.96
SKU01907,"Product 1907","Description for product 1907",87.73
SKU01908,"Product 1908","Description for product 1908",74.73
SKU01909,"Product 1909","Description for product 1909",48.62
SKU01910,"Product 1910","Description for product 1910",92.13
SKU01911,"Product 1911","Description for product 1911",25.18
SKU01912,"Product 1912","Description for product 1912",12.73
SKU01913,"Product 1913","Description for product 1913",31.26
SKU01914,"Product 1914","Description for product 1914",62.64
SKU01915,"Product 1915","Description for product 1915",2.67
SKU01916,"Product 1916","Description for product 1916",33.73
SKU01917,"Product 1917","Description for product 1917",29.68
SKU01918,"Product 1918","Description for product 1918",89.12
SKU01919,"Product 1919","Description for product 1919",36.33
SKU01920,"Product 1920","Description for product 1920",42.59
SKU01921,"Product 1921","Description for product 1921",27.89
SKU01922,"Product 1922","Description for product 1922",38.62
SKU01923,"Product 1923","Description for product 1923",12.35
SKU01924,"Product 1924","Description for product 1924",92.78
SKU01925,"Product 1925","Description for product 1925",62.48
SKU01926,"Product 1926","Description for product 1926",99.58
SKU01927,"Product 1927","Description for product 1927",97.71
SKU01928,"Product 1928","Description for product 1928",36.06
SKU01929,"Product 1929","Description for product 1929",8.73
SKU01930,"Product 1930","Description for product 1930",81.37
SKU01931,"Product 1931","Description for product 1931",78.09
SKU01932,"Product 1932","Description for product 1932",69.74
SKU01933,"Product 1933","Description for product 1933",43.21
SKU01934,"Product 1934","Description for product 1934",34.97
SKU01935,"Product 1935","Description for product 1935",85.39
SKU01936,"Product 1936","Description for product 1936",72.82
SKU01937,"Product 1937","Description for product 1937",43.53
SKU01938,"Product 1938","Description for product 1938",7.04
SKU01939,"Product 1939","Description for product 1939",69.03
SKU01940,"Product 1940","Description for product 1940",39.87
SKU01941,"Product 1941","Description for product 1941",88.88
SKU01942,"Product 1942","Description for product 1942",61.59
SKU01943,"Product 1943","Description for product 1943",94
SKU01944,"Product 1944","Description for product 1944",37.24
SKU01945,"Product 1945","Description for product 1945",63.72
SKU01946,"Product 1946","Description for product 1946",79.77
SKU01947,"Product 1947","Description for product 1947",1.32
SKU01948,"Product 1948","Description for product 1948",35.54
SKU01949,"Product 1949","Description for product 1949",48.42
SKU01950,"Product 1950","Description for product 1950",34.34
SKU01951,"Product 1951","Description for product 1951",39.82
SKU01952,"Product 1952","Description for product 1952",37.25
SKU01953,"Product 1953","Description for product 1953",60.55
SKU01954,"Product 1954","Description for product 1954",11.08
SKU01955,"Product 1955","Description for product 1955",42.92
SKU01956,"Product 1956","Description for product 1956",73.45
SKU01957,"Product 1957","Description for product 1957",74.06
SKU01958,"Product 1958","Description for product 1958",36
SKU01959,"Product 1959","Description for product 1959",99.57
SKU01960,"Product 1960","Description for product 1960",19.14
SKU01961,"Product 1961","Description for product 1961",57.31
SKU01962,"Product 1962","Description for product 1962",50.11
SKU01963,"Product 1963","Description for product 1963",71.54
SKU01964,"Product 1964","Description for product 1964",5.83
SKU01965,"Product 1965","Description for product 1965",77.36
SKU01966,"Product 1966","Description for product 1966",85.75
SKU01967,"Product 1967","Description for product 1967",10.38
SKU01968,"Product 1968","Description for product 1968",68.57
SKU01969,"Product 1969","Description for product 1969",6.69
SKU01970,"Product 1970","Description for product 1970",67.38
SKU01971,"Product 1971","Description for product 1971",19.85
SKU01972,"Product 1972","Description for product 1972",35.94
SKU01973,"Product 1973","Description for product 1973",62.12
SKU01974,"Product 1974","Description for product 1974",88.4
SKU01975,"Product 1975","Description for product 1975",11.42
SKU01976,"Product 1976","Description for product 1976",32.26
SKU01977,"Product 1977","Description for product 1977",37.36
SKU01978,"Product 1978","Description for product 1978",55.41
SKU01979,"Product 1979","Description for product 1979",51.07
SKU01980,"Product 1980","Description for product 1980",2.88
SKU01981,"Product 1981","Description for product 1981",5.61
SKU01982,"Product 1982","Description for product 1982",59.44
SKU01983,"Product 1983","Description for product 1983",51.31
SKU01984,"Product 1984","Description for product 1984",40.77
SKU01985,"Product 1985","Description for product 1985",43.52
SKU01986,"Product 1986","Description for product 1986",83.66
SKU01987,"Product 1987","Description for product 1987",4.27
SKU01988,"Product 1988","Description for product 1988",98.86
SKU01989,"Product 1989","Description for product 1989",8.17
SKU01990,"Product 1990","Description for product 1990",15.43
SKU01991,"Product 1991","Description for product 1991",56.86
SKU01992,"Product 1992","Description for product 1992",23.93
SKU01993,"Product 1993","Description for product 1993",43.79
SKU01994,"Product 1994","Description for product 1994",14.32
SKU01995,"Product 1995","Description for product 1995",31.26
SKU01996,"Product 1996","Description for product 1996",86.78
SKU01997,"Product 1997","Description for product 1997",47.67
SKU01998,"Product 1998","Description for product 1998",69.7
SKU01999,"Product 1999","Description for product 1999",46.79
SKU02000,"Product 2000","Description for product 2000",70.43
SKU02001,"Product 2001","Description for product 2001",28.73
SKU02002,"Product 2002","Description for product 2002",54.67
SKU02003,"Product 2003","Description for product 2003",74.8
SKU02004,"Product 2004","Description for product 2004",11.01
SKU02005,"Product 2005","Description for product 2005",69.4
SKU02006,"Product 2006","Description for product 2006",98.65
SKU02007,"Product 2007","Description for product 2007",86.73
SKU02008,"Product 2008","Description for product 2008",7.62
SKU02009,"Product 2009","Description for product 2009",2.72
SKU02010,"Product 2010","Description for product 2010",72.95
SKU02011,"Product 2011","Description for product 2011",91.04
SKU02012,"Product 2012","Description for product 2012",44.71
SKU02013,"Product 2013","Description for product 2013",56.35
SKU02014,"Product 2014","Description for product 2014",97.71
SKU02015,"Product 2015","Description for product 2015",96.46
SKU02016,"Product 2016","Description for product 2016",59.3
SKU02017,"Product 2017","Description for product 2017",34.84
SKU02018,"Product 2018","Description for product 2018",53.06
SKU02019,"Product 2019","Description for product 2019",30.71
SKU02020,"Product 2020","Description for product 2020",66.14
SKU02021,"Product 2021","Description for product 2021",42.5
SKU02022,"Product 2022","Description for product 2022",15.11
SKU02023,"Product 2023","Description for product 2023",10.18
SKU02024,"Product 2024","Description for product 2024",70.18
SKU02025,"Product 2025","Description for product 2025",10.17
SKU02026,"Product 2026","Description for product 2026",33.57
SKU02027,"Product 2027","Description for product 2027",20.54
SKU02028,"Product 2028","Description for product 2028",61.51
SKU02029,"Product 2029","Description for product 2029",85.12
SKU02030,"Product 2030","Description for product 2030",88.1
SKU02031,"Product 2031","Description for product 2031",83.87
SKU02032,"Product 2032","Description for product 2032",41.86
SKU02033,"Product 2033","Description for product 2033",93.83
SKU02034,"Product 2034","Description for product 2034",59.64
SKU02035,"Product 2035","Description for product 2035",6.91
SKU02036,"Product 2036","Description for product 2036",11.9
SKU02037,"Product 2037","Description for product 2037",47.99
SKU02038,"Product 2038","Description for product 2038",48.4
SKU02039,"Product 2039","Description for product 2039",41.85
SKU02040,"Product 2040","Description for product 2040",71.49
SKU02041,"Product 2041","Description for product 2041",18.03
SKU02042,"Product 2042","Description for product 2042",63.55
SKU02043,"Product 2043","Description for product 2043",69.89
SKU02044,"Product 2044","Description for product 2044",61.48
SKU02045,"Product 2045","Description for product 2045",80.75
SKU02046,"Product 2046","Description for product 2046",25.27
SKU02047,"Product 2047","Description for product 2047",17.22
SKU02048,"Product 2048","Description for product 2048",17.26
SKU02049,"Product 2049","Description for product 2049",19.23
SKU02050,"Product 2050","Description for product 2050",73.4
SKU02051,"Product 2051","Description for product 2051",45.52
SKU02052,"Product 2052","Description for product 2052",88.17
SKU02053,"Product 2053","Description for product 2053",23.74
SKU02054,"Product 2054","Description for product 2054",82.63
SKU02055,"Product 2055","Description for product 2055",72.32
SKU02056,"Product 2056","Description for product 2056",88.05
SKU02057,"Product 2057","Description for product 2057",84.24
SKU02058,"Product 2058","Description for product 2058",91.65
SKU02059,"Product 2059","Description for product 2059",8.04
SKU02060,"Product 2060","Description for product 2060",17.25
SKU02061,"Product 2061","Description for product 2061",10.06
SKU02062,"Product 2062","Description for product 2062",41.71
SKU02063,"Product 2063","Description for product 2063",48.21
SKU02064,"Product 2064","Description for product 2064",79.51
SKU02065,"Product 2065","Description for product 2065",18.91
SKU02066,"Product 2066","Description for product 2066",48.6
SKU02067,"Product 2067","Description for product 2067",54.25
SKU02068,"Product 2068","Description for product 2068",88.63
SKU02069,"Product 2069","Description for product 2069",51.21
SKU02070,"Product 2070","Description for product 2070",23.37
SKU02071,"Product 2071","Description for product 2071",73.22
SKU02072,"Product 2072","Description for product 2072",87.84
SKU02073,"Product 2073","Description for product 2073",3.98
SKU02074,"Product 2074","Description for product 2074",10.13
SKU02075,"Product 2075","Description for product 2075",64.24
SKU02076,"Product 2076","Description for product 2076",49.41
